Name,HighwayType,GeometryType,Lat,Lon,City
Oliver Court,residential,LineString,43.43082545555555,-80.536135,Kitchener
Oliver Court,residential,LineString,43.43034003571429,-80.53741936428571,Kitchener
Sunny Meadow Court,residential,LineString,43.425662360000004,-80.54798475999999,Kitchener
Sunny Meadow Court,residential,LineString,43.42545283333334,-80.54826341111111,Kitchener
High Acres Crescent,residential,LineString,43.424869805263164,-80.53947950000001,Kitchener
Golden Meadow Drive,residential,LineString,43.41367059047619,-80.54998365714286,Kitchener
Golden Meadow Crescent,residential,LineString,43.41362429411765,-80.55090888235293,Kitchener
Trailview Drive,residential,LineString,43.42589990416666,-80.53289432499999,Kitchener
Monteagle Crescent,residential,LineString,43.427551333333334,-80.5337340466667,Kitchener
Benesfort Drive,residential,LineString,43.43395661904761,-80.53008557619049,Kitchener
Wexford Crescent,residential,LineString,43.43533142500001,-80.53644034999998,Kitchener
Lennox Crescent,residential,LineString,43.438752322222236,-80.5387694074074,Kitchener
Medford Street,residential,LineString,43.43867612142857,-80.53893979285714,Kitchener
Northforest Trail,residential,LineString,43.44110896923077,-80.54198476153846,Kitchener
Northforest Trail,residential,LineString,43.439966519047616,-80.54245198095239,Kitchener
Gatsby Court,residential,LineString,43.44029685555555,-80.54115002222223,Kitchener
Parsons Court,residential,LineString,43.44147635,-80.54227037499999,Kitchener
Parsons Court,residential,LineString,43.44109975,-80.54263292,Kitchener
Avondale Avenue South,residential,LineString,43.45827843703704,-80.52573765185183,Waterloo
Adelaide Street,residential,LineString,43.44431673333333,-80.51399458333333,Kitchener
Spadina Road West,residential,LineString,43.4385762125,-80.50316933750001,Kitchener
Spadina Road East,residential,LineString,43.43916333333334,-80.49863725555555,Kitchener
Hanson Avenue,tertiary,LineString,43.42502149411765,-80.4731903764706,Kitchener
Hayward Avenue,tertiary,LineString,43.4248551,-80.4709605,Kitchener
Manitou Drive,secondary,LineString,43.41905233333333,-80.45358996666667,Kitchener
Bleams Road,secondary,LineString,43.41144070952381,-80.45574864761905,Kitchener
Windflower Drive,residential,LineString,43.41286753125,-80.521450153125,Kitchener
Activa Avenue,residential,LineString,43.41330248333333,-80.50865505,Kitchener
Max Becker Drive,residential,LineString,43.4047834,-80.5107695,Kitchener
Max Becker Drive,residential,LineString,43.4050894,-80.50130998333334,Kitchener
Royal Orchard Place,residential,LineString,43.41506985454546,-80.52904771363637,Kitchener
Fischer-Hallman Road,secondary,LineString,43.3867245,-80.49014752000001,Kitchener
Havenwood Court,residential,LineString,43.41580580499999,-80.551749865,Kitchener
Knell Drive,residential,LineString,43.44563707692308,-80.53252127692306,Kitchener
Westwood Drive,residential,LineString,43.44399724444445,-80.53280778888892,Kitchener
Gruhn Street,residential,LineString,43.45363515263157,-80.50819469999999,Kitchener
Agnes Street,residential,LineString,43.45438885,-80.50550765,Kitchener
Wellington Street South,residential,LineString,43.45386741428571,-80.50336168571428,Kitchener
Wellington Street North,tertiary,LineString,43.45486687777778,-80.50162796666666,Kitchener
Patricia Avenue,residential,LineString,43.439985,-80.50363755,Kitchener
Patricia Avenue,residential,LineString,43.443491875,-80.507964375,Kitchener
Karn Street,residential,LineString,43.44275128571429,-80.52039888571429,Kitchener
